"","IP1","IP2","IP3","control4","control5","control6","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SAOUHSC_00001",20822,17144,13268,14204,19660,4006,13319.5483632987,0.179625321404635,0.285665843546498,0.628795235631302,0.529483119561623,0.613922686429107
"gene-SAOUHSC_00002",16122,12278,11242,12226,15120,2134,9799.57610611955,0.343152580445496,0.174728015804617,1.96392421023777,0.0495388817647972,0.0848132885179944
"gene-SAOUHSC_00003",1631,1215,881,1382,1024,126,854.819460229112,0.555984010272152,0.345394308894541,1.60970808132774,0.107461599902223,0.16483057936877
"gene-SAOUHSC_00004",14058,11486,9997,7628,6737,846,7036.33715659083,1.22175184198699,0.268817628519777,4.54490967989888,5.49588153183735e-06,2.46758304100817e-05
"gene-SAOUHSC_00005",29702,26506,24292,12095,12108,3508,16187.9041167841,1.18733664094081,0.341594624166298,3.47586453925804,0.000509209418984588,0.00147541545183589
"gene-SAOUHSC_00006",45391,33491,32325,18995,12511,4005,21497.8874398148,1.32814774937732,0.355671911466841,3.73419352655612,0.000188317651721526,0.000594675902498504
"gene-SAOUHSC_00007",7091,4942,4779,3577,5029,1212,4032.65224569865,0.43330784880409,0.331699288786872,1.30632733759796,0.191441264285668,0.268272242028127
"gene-SAOUHSC_00008",3256,2591,2442,1362,1984,314,1711.87141413019,1.04062207846564,0.221302045727948,4.70227048757107,2.57284350188609e-06,1.22860000673689e-05
"gene-SAOUHSC_00009",2496,1987,1450,40434,78172,13369,22047.9871237216,-4.70260797377119,0.32616046293077,-14.4180810007293,3.98262513094446e-47,1.36454693548985e-44
"gene-SAOUHSC_00010",365,306,273,2161,4648,273,1013.65255171704,-2.75326764170402,0.384220901538804,-7.16584556091869,7.73078874451981e-13,1.03872999748671e-11
"gene-SAOUHSC_00012",214,179,173,1166,2756,300,681.63040032923,-2.93390471137005,0.328718264338051,-8.92528657413707,4.44546758675571e-19,1.21850266552974e-17
"gene-SAOUHSC_00013",1369,1331,1013,4778,9025,1932,3243.76962217041,-2.39479769787921,0.371951210134325,-6.43847266154709,1.20681691391946e-10,1.16474829614551e-09
"gene-SAOUHSC_00014",4689,3451,3561,7061,8954,1177,4100.59900969464,-0.612467637217534,0.184558448348178,-3.31855649361597,0.000904840171956877,0.00245561080330079
"gene-SAOUHSC_00015",26007,21942,22544,20980,25883,5832,18727.1106326857,0.15328974119396,0.292798314800265,0.523533550042893,0.600603010019931,0.679147215538215
"gene-SAOUHSC_00017",6424,5559,5703,5269,6523,1047,4425.52749654236,0.347836963045704,0.211089677486392,1.64781607129097,0.0993904200874357,0.154423786471789
"gene-SAOUHSC_00018",11855,10419,8794,14360,19547,6300,12121.4687669268,-0.851204979079979,0.415607029875075,-2.0481005322163,0.0405501497863505,0.0712030496889088
"gene-SAOUHSC_00019",7048,6315,6901,8612,5241,3222,6535.17365873045,-0.367575934702761,0.517518813859848,-0.71026583934455,0.477539299292768,0.565414781581632
"gene-SAOUHSC_T00018",50,22,22,28,6,53,52.0951669577884,-1.61135532689739,1.07750377693793,-1.49545213797446,0.134796482146809,0.199717382467245
"gene-SAOUHSC_T00011",302,288,136,210,29,210,268.398038318447,-0.751316120078778,0.969631411624968,-0.774847133736804,0.438429994030282,0.528468167826299
"gene-SAOUHSC_00020",3943,3618,2734,3976,6061,932,3104.74373626537,-0.226322939046174,0.24563525093859,-0.921378092848556,0.356853062218946,0.449097448825588
"gene-SAOUHSC_00021",12469,10670,8420,11426,13172,6184,11137.7700723923,-0.629953095665207,0.502526299020937,-1.25357239390761,0.209997470517308,0.289393195921539
"gene-SAOUHSC_00022",13084,11077,9197,10299,12079,1989,8330.76526840147,0.320991824532373,0.200129798201918,1.60391819417373,0.108732085805891,0.166313977228765
"gene-SAOUHSC_00023",9590,7861,7336,6843,8148,2076,6427.50623009081,0.210505308267056,0.319725819797273,0.658393208282429,0.510285498440445,0.597476527648551
"gene-SAOUHSC_00024",2818,1715,1870,1355,1088,373,1392.43950009553,0.778539478038174,0.378780600507528,2.0553837155203,0.0398419571212666,0.0700043618393537
"gene-SAOUHSC_00025",2918,2091,2161,1244,1558,676,1742.52293648124,0.407954951176711,0.489375646539739,0.833623319961395,0.404493280335166,0.49474166952195
"gene-SAOUHSC_00026",106,50,115,18,21,2,43.3926759005095,2.70233913351765,0.527008720264398,5.12769339407115,2.93313614560693e-07,1.74020047080273e-06
"gene-SAOUHSC_00027",382,337,290,328,531,146,328.16114311958,-0.396923072603175,0.404569158873616,-0.981100669433802,0.326543100358212,0.419152934833518
"gene-SAOUHSC_00028",12,17,12,30,40,9,19.2467962538325,-1.11980823379489,0.530229867558382,-2.1119297540733,0.0346924748729261,0.0623145960856425
"gene-SAOUHSC_00029",1,3,7,18,9,3,6.66976078439556,-1.56894561323391,0.968998272536929,-1.61914180623487,0.105416755542066,0.162147770449384
"gene-SAOUHSC_00030",1595,1171,1351,2401,3961,299,1435.78497142248,-0.592830844737674,0.316861093201657,-1.87094868211032,0.0613521943845228,0.101795620343812
"gene-SAOUHSC_00031",28787,18195,29951,2106,2358,317,11475.8163890404,3.97313173548334,0.297875706948647,13.3382200790489,1.38732485006318e-40,1.81078924477294e-38
"gene-SAOUHSC_00032",58,28,130,22,40,18,50.0058951974668,0.861077229965394,0.760588231972259,1.13212010621379,0.257583942909278,0.34556465539858
"gene-SAOUHSC_00033",14425,9623,16344,1481,1173,152,6082.56659781234,3.86911525249429,0.365251803597898,10.5930079314646,3.21104685831473e-26,1.91106848065918e-24
"gene-SAOUHSC_00034",3718,2798,3295,334,323,20,1453.57376826751,3.99662079419421,0.399086130215673,10.0144317018343,1.31716716584493e-23,5.38858985310589e-22
"gene-SAOUHSC_00035",24928,16505,25621,1021,475,40,9597.9245654547,5.60156337922182,0.544996492942558,10.278164083181,8.83953269663263e-25,4.25072967043334e-23
"gene-SAOUHSC_00036",47044,32875,48620,2077,1145,284,18596.8687798063,5.05146283829124,0.384902407955926,13.1240094472718,2.39899053837018e-39,2.98892412076031e-37
"gene-SAOUHSC_00037",45459,29683,42847,8610,8187,3316,20503.4293768414,2.03326691953328,0.450927802725401,4.50907419601152,6.51111364364376e-06,2.86490625658577e-05
"gene-SAOUHSC_00038",385,306,275,229,165,21,190.63974751259,1.20298718339069,0.342359867045366,3.51380900387859,0.00044173030550263,0.00129634129270097
"gene-SAOUHSC_00039",4175,3808,2969,3512,4318,2023,3710.60372111228,-0.521355317270999,0.512346388853122,-1.01758366724911,0.308875852417526,0.399541628823237
"gene-SAOUHSC_00040",43,31,39,33,54,6,28.865057259033,0.241383850091395,0.419340639614499,0.57562713290393,0.564867237283599,0.64485676692809
"gene-SAOUHSC_00041",761,585,585,457,635,68,428.317649645214,0.726274273759074,0.234446809890833,3.09782109680764,0.00194949076829113,0.0048888876449094
"gene-SAOUHSC_00042",1983,1408,1603,1009,1115,140,1013.02408164134,1.11117922130646,0.22788502611959,4.87605192946433,1.08230127921182e-06,5.68311840291112e-06
"gene-SAOUHSC_00043",792,548,624,268,226,33,347.596484015104,1.83833458508803,0.284958015444746,6.45124715028235,1.10933413886945e-10,1.08209426143813e-09
"gene-SAOUHSC_00044",1898,1321,1548,806,981,73,899.684634967056,1.46243163325219,0.333585931655387,4.38397274727689,1.16534358221292e-05,4.87665154022231e-05
"gene-SAOUHSC_00045",151,93,159,321,528,73,193.915164193612,-1.27825269499523,0.340012158013322,-3.75943231696187,0.000170299340463422,0.000542149236016537
"gene-SAOUHSC_00046",429,328,395,491,712,34,309.888496535518,0.0950724677029925,0.429523397199469,0.221344095159597,0.82482451835728,0.863576778005082
"gene-SAOUHSC_00047",736,427,509,503,954,52,414.827740407931,0.291584981814102,0.398795199057433,0.731164724408103,0.464678543932925,0.55257435527989
"gene-SAOUHSC_00049",2802,1837,2128,2426,3259,333,1756.40337284126,0.184145773011942,0.248188652789976,0.741958872582992,0.458112254251228,0.547282309970511
"gene-SAOUHSC_00050",1514,923,1223,940,1307,113,818.115432165575,0.691038064212083,0.303462661387803,2.27717657603018,0.0227756833310604,0.0432927517409407
"gene-SAOUHSC_00051",467,235,260,517,734,196,393.157738392337,-0.999219949196035,0.394836973403371,-2.53071524832913,0.0113830217562312,0.0233016151111499
"gene-SAOUHSC_00052",196,113,145,93,141,20,100.374777286917,0.736533311094122,0.311645421674871,2.36336958565213,0.0181095992959978,0.0352045472839219
"gene-SAOUHSC_00053",262,180,237,195,365,28,171.409063315716,0.275584566574058,0.349387597639022,0.788764593924665,0.430249606819554,0.519979793779717
"gene-SAOUHSC_00054",415,294,322,258,421,45,243.803988179939,0.487989899921112,0.265852538038289,1.83556607554685,0.0664218583360145,0.109215545110387
"gene-SAOUHSC_00055",686,439,515,401,543,53,361.188131578593,0.728069149232941,0.269268006557804,2.70388286577465,0.00685344435146721,0.0148971379598506
